"end","n"
"上海站","2"
"上海虹桥站","27"
"临汾西站","1"
"丹东站","2"
"乌鲁木齐站","1"
"佳木斯站","1"
"保定站","2"
"六安站","1"
"兰州站","1"
"兰州西站","3"
"包头站","4"
"北京西站","1"
"北海站","1"
"十堰东站","1"
"千岛湖站","1"
"南宁东站","1"
"南昌西站","2"
"南阳东站","1"
"厦门北站","3"
"台州站","1"
"合肥南站","3"
"合肥站","1"
"吉林站","3"
"呼和浩特东站","1"
"哈尔滨西站","12"
"商丘站","1"
"嘉兴南站","1"
"大兴机场站","9"
"大同南站","3"
"大连北站","7"
"天津站","37"
"天津西站","16"
"太原南站","8"
"太子城站","2"
"威海站","1"
"宁波站","1"
"安庆站","1"
"宜昌东站","1"
"宝鸡南站","2"
"广州东站","1"
"广州南站","2"
"广州站","1"
"张家口站","3"
"成都东站","3"
"成都站","1"
"昆明南站","3"
"昆明站","1"
"曹妃甸东站","1"
"杭州东站","4"
"武昌站","1"
"武汉站","6"
"永济北站","1"
"汉口站","3"
"江山站","1"
"沈阳北站","3"
"沈阳南站","3"
"洛阳龙门站","1"
"深圳东站","1"
"温州南站","1"
"滨海站","16"
"烟台站","2"
"牡丹江站","1"
"珠海站","1"
"珲春站","1"
"瑞金站","1"
"盐城站","2"
"石家庄站","2"
"福州南站","1"
"福州站","4"
"福田站","1"
"秦皇岛站","2"
"绍兴北站","1"
"苍南站","1"
"荣成站","2"
"菏泽站","1"
"西安北站","10"
"贵阳北站","1"
"贵阳站","1"
"赣州西站","1"
"运城北站","2"
"通辽站","1"
"邯郸东站","4"
"邵阳站","1"
"郑州东站","2"
"重庆北站","1"
"重庆西站","1"
"长春站","6"
"长春西站","5"
"长沙南站","3"
"青岛北站","3"
"青岛站","7"
"香港西九龙站","1"
"黄山北站","2"
"齐齐哈尔南站","1"
"每日班次","300"
