车次,,始发站-终点站,到站时间,查询站,开车时间,全程（时间）
G4845,,北京西站 - 兰州西站,始发站,北京站,0:35,1784公里（8小时16分）
G4951,,北京西站 - 武汉站,始发站,北京站,0:51,1229公里（4小时23分）
G4955,,北京西站 - 武汉站,始发站,北京站,1:26,1229公里（4小时29分）
G4755,,北京南站 - 长春西站,始发站,北京站,1:26,1093公里（5小时30分）
G4721,,北京南站 - 哈尔滨西站,始发站,北京站,1:43,1331公里（6小时21分）
G4731,,北京南站 - 长春西站,始发站,北京站,1:53,1093公里（5小时19分）
G4837,,北京西站 - 郑州东站,始发站,北京站,1:55,693公里（2小时35分）
D4509,,北京站 - 长春西站,始发站,北京站,2:00,1001公里（6小时58分）
G4727,,北京南站 - 哈尔滨西站,始发站,北京站,2:04,1331公里（6小时14分）
G4723,,北京南站 - 哈尔滨西站,始发站,北京站,2:18,1331公里（6小时52分）
G4853,,北京南站 - 长春站,始发站,北京站,2:30,1103公里（5小时45分）
G4857,,北京南站 - 沈阳北站,始发站,北京站,2:30,786公里（4小时24分）
G4785,,北京南站 - 哈尔滨西站,始发站,北京站,2:42,1331公里（7小时11分）
D4605,,北京站 - 长春站,始发站,北京站,2:51,1013公里（6小时20分）
D4607,,北京站 - 哈尔滨西站,始发站,北京站,2:56,1241公里（7小时35分）
D4639,,北京站 - 哈尔滨西站,始发站,北京站,3:01,1241公里（7小时40分）
G4753/G4752,,北京南站 - 大连北站,始发站,北京站,3:14,963公里（4小时56分）
G4841,,北京西站 - 南阳东站,始发站,北京站,3:16,958公里（3小时48分）
G4851,,北京南站 - 长春站,始发站,北京站,3:19,1103公里（5小时43分）
Z350/Z351,,青岛站 - 包头站,3:01,北京站,3:30,1777公里（26小时50分）
Z181/Z184,,临河站 - 深圳东站,3:08,北京站,3:36,3255公里（39小时21分）
G4787,,北京南站 - 哈尔滨西站,始发站,北京站,3:37,1331公里（7小时18分）
G4855,,北京西站 - 西安北站,始发站,北京站,3:42,1212公里（4小时32分）
G4867,,北京西站 - 西安北站,始发站,北京站,3:47,1212公里（4小时50分）
G4819,,北京西站 - 武汉站,始发站,北京站,4:09,1229公里（4小时33分）
G4869,,北京西站 - 西安北站,始发站,北京站,4:27,1212公里（5小时53分）
G6737,,北京西站 - 邯郸东站,始发站,北京站,5:34,456公里（2小时0分）
Z156/Z157,,泰州站 - 哈尔滨西站,5:39,北京站,5:58,2556公里（23小时53分）
C2551,,北京南站 - 滨海站,始发站,北京站,6:02,165公里（56分）
G7875,,北京北站 - 张家口站,始发站,北京站,6:05,172公里（1小时2分）
C2553,,北京南站 - 滨海站,始发站,北京站,6:07,165公里（1小时3分）
G4215,,北京南站 - 盐城站,始发站,北京站,6:14,1129公里（8小时57分）
C2603,,北京南站 - 天津西站,始发站,北京站,6:17,117公里（32分）
C2201,,北京南站 - 天津站,始发站,北京站,6:22,120公里（37分）
G437,,北京西站 - 兰州西站,始发站,北京站,6:27,1784公里（7小时13分）
